GROUP;CODE;EN;DE;SP;FR
;YOURNAME;Your Name;Ihr name;Su Nombre;Votre Nom
;YOURPHONE;Your Phone;Ihre Telefonnummer;Su Teléfono;Votre Téléphone
;YOURMOBILE;Your Mobile;Ihre Mobiltelefonnummer;Su móvil;Votre Mobile
;YOUREMAIL;Your Mail;Ihre e-mail-adresse;Su email;Votre Email
;CONFIRMYOUREMAIL;Confirm Your Mail;E-mail bestätigen;Confirme su email;Confirmez votre email
;YOUREMAILISYOURUSERNAME ;Your email is your username.;;;
;LANGUAGESPOKEN;Language Spoken;Gesprochene Sprache  ;Idiomas hablados;Langues parlées
;ENGLISH;English;Englisch;Ingles;Anglais
;SPANISH;Spanish;Spanisch;Español;Espagnol
;FRENCH;French;Französisch;Francés;Français
;GERMAN;German;Deutsch;Alemán;Allemand
;PORTUGUESE;Portugues;Portugiesisch;Portugués;Portuguais
;ITALIAN;Italian;Italienisch;Italiano;Italien
;CHINESE;Chinese;Chinesisch;Chino;Chinois
;JAPANESE;Japonese;Japanisch;Japonés;Japonnais
;YOURCOUNTRY;Your country;Your country;Su país;Votre pays
;INWICHCOUNTRY;In which country ?;Ein Land wählen;¿En qué país?;Choisir un pays
;CHOOSEACITY;Choose a city/town;Wählen sie eine Stadt;Elija una ciudad/pueblo;Choisir une ville
;FIRSTCHOOSEACOUNTRY;Choose a country first;Zuerst wählen ein Land ;Elija un país primero;Choisissez d'abord un pays
;SELECTCOUNTRY;Select a country ;Ein Land wählen;Elija un país;Choisissez un pays
;SELECTCITY;Select a City;Wählen sie eine Stadt;Elija una ciudad;Choisissez une ville
;SELECTLANGUAGE;Select langage;Sprache;Elegir idioma;Changer de langue
;TYPEOFPROPERTY;Type of property;Art der Unterkunft;Tipo de propiedad;Type de résidence
;YOUWANTTORENTPER;You want to rent per;Sie wünschen zu mieten für;Usted desea alquilar por;Vous désirez louer par
;MONTH;Month;Monat;Mes;Mois
;WEEK;Week;Woche;Semana;Semaine
;DAY;Day;Tag;Día;Jour
;EDITRECORD;Edit;Bearbeiten ;Modificar;Modifier
;DELETERECORD;Delete;Löschen ;Eliminar;Effacer
;VISUALVERIFICATION;Visual verification;Bestätigung;Verificación visual;Vérification visuelle
;INSERTNEWADD;Insert a new ad here;Legen Sie eine neue Anzeige hier ;Nuevo anuncio aquí;Ajouter une annonce ici
;FEATUREDDESTINATION;FEATURED DESTINATION :;ZIELORT :;DESTINOS :;LIEUX DE DESTINATION :
;PARTNERS;Partners;Partnerschaft;Socios;Partenaires
;THISAPPEARSFORWVERYONE;This appears for everyone.;Dies wird auf der Internetseite erscheinen;Esto aparecerá en el sitio web;Apparaîtra dans le site
;YOUREMAILWONTAPPEAR;Your email  won't appear in the website;Dies wird nicht auf der Internetseite erscheinen;Esto no aparecerá en el sitio web;N'apparaîtra pas dans le site.
;IFCOUNTRYMISSING;If the country is missing please contact us;Falls das Land fehlt; kontaktieren Sie uns bitte.;Si falta su país por favor contáctenos
;IFCITYMISSING;If the city is missing please contact us;Falls die Steadt fehlt; kontaktieren sie uns bitte.;Si falta su ciudad por favor contáctenos
;VALIDATEYOURADD;Validate your ad;Validieren sie ihr;Validar su aviso;Valider votre annonce
;PRINCIPAL;Principal;Erste;Principal;Principal



;INTITULATE;Title of the ad ;Benennen sie ihren Besitz;Nombre su propìedad;Intitulé
;SIZE;Size;Grösse;Superficie;Surface
;TOTALOFROOMS;Total of Room(s);Anzahl Zimmer;Total de ambientes;Nombre total de pièce(s)
;BEDROOMS;Bedroom(s);Schlafzimmer;Habitaciones;Chambre(s)
;SLEEPUP;Sleep up;Zustellbetten;Dormitorios;Couchage(s)
;WIFIINTERNET;Wifi Internet;Wifi Internet;Wifi Internet;Wifi Internet
;DESCRIPTION;DESCRIPTION;DESCRIPTION;DESCRIPTION;DESCRIPTION
;RATE;Rate;Miete;Alquiler;Loyer
;RATEUP;RATE;MIETE;ALQUILER;LOYER
;DEPOSIT;Deposit;Einreichen;Depósito ;Dépôt
;RENTPERMONTH;Rent / Month;Miete / Monat;Alquiler / Mes;Loyer / Mois
;RENTPERWEEK;Rent / Week;Miete / Woche;Alquiler / Semana;Loyer / Semaine
;RENTPERDAY;Rent / Day;Miete / Tag;Alquiler / Días;Loyer / Jour
;FLOOR;Floor;Stockwerk;Suela;Étage
;FINDYOURHOME;Find your home;Finden sie Ihre Residenz;Encontrar su casa;Trouver votre habitation
;BACKTOINVENTORY;Back to inventory;Zurück zur Liste;Volver al inventario;Revenir à la liste

;FROM;From;Von;Desde;De
;TO;To;Bis;Hasta;À
;RATE;Rate;Miete;Alquiler;Loyer
;CURRENCY;Currency;Währung;Moneda;Devise


;JANUARY;January;Januar;Enero;Janvier
;FEBRUARY;February;Februar;Febrero;Février
;MARCH;March;März;Marzo;Mars
;APRIL;April;April;Abril;Avril
;MAY;May;Mai;Mayo;Mai
;JUNE;June;Juni;Junio;Juin
;JULY;July;Juli;Julio ;Juillet
;AUGUST;August;August;Agosto ;Août
;SEPTEMBER;September;September;Septiembre ;Septembre
;OCTOBER;October;Oktober;Octubre ;Octobre
;NOVEMBER;November;November;Noviembre ;Novembre
;DECEMBER;December;Dezember;Diciembre ;Décembre

;EUROS;€ ;€ ;€;€ 
;DOLLARS;US$ ;US$ ;US$ ;US$ 
;BUSESAT;Buses at;Busse in ;Omnibus a;Bus à
;METROAT;Metro at;U-bahn in;Metro a;Métro à
;TRAMWAYSAT;Tramways at;Strassenbahn in;Trenes a/en;Tramways à 
;NEARESTAIRPORTAT;Nearest airport at;Nächster Flughafen in ;Aeropuerto más cercano a/en;Aéroport le plus proche à
;RAILWAYSTATIONAT;Nearest railway station at;Nächster Bahnhof in;Estación de tren más cercana a/en;Gare ferrovière la plus proche à
;NEARESTBEACHAT;Nearest beach at;Nächster Strand in;Playa más cercano a/en;Plage la plus proche à
;NEARESTSKIRESSORTAT;Nearest ski resort at;Nächste Skistation in;Estación de ski a/en;Station de ski la plus proche à
;LOCALACTIVITIES;LOCAL ACTIVITIES;LOKALE AKTIVITÄTEN;ACTIVIDADES LOCALES;ACTIVITÉS LOCALES
;MAPLOCATION;MAP LOCATION;ORT AUF DEM PLAN;LOCALIZACION EN EL MAPA;LOCALISATION SUR PLAN
;DIVING;Diving;Tauchen;Buceo;Plongée
