GROUP;CODE;EN;DE;SP;FR;XXX
WORDS;SITEDEMONSTRATION;Site for Demonstration;Site for Demonstration;Sitio de demostración;Site for Demonstration;
WORDS;WELCOME;Welcome;Willkommen;Bienvenido;Bienvenue;
WORDS;S;Yes;Ya;Sí;Oui;
WORDS;N;No;No;No;Non;
WORDS;START;Start;Start;Inicio;Commencer;
WORDS;HOME;Home;Home;Inicio;Accueil;
WORDS;BACK;Go Back;Go Back;Volver;Revenir;
WORDS;GOBACK;Go Back;Go Back;Volver;Revenir;
WORDS;LINK;Link;Link;Vínculo;Lien;
WORDS;URL;Url;Url;Url;Url;
WORDS;SETUP;Setup;Setup;Configuración;Installation;
WORDS;LOGIN;Login;Sich registrieren;Iniciar sesión;Se connecter;
WORDS;SIGNIN;Sign in;Anmelden;Iniciar sesión;Connexion;
WORDS;SIGNOUT;Sign out;Abmelden;Desconectarse;Se déconnecter;
WORDS;UNREGISTER;Close account;Close account;Cerrar esta cuenta;Fermer ce compte;
WORDS;SIGNUP;Sign up;Neues Konto;Registrarse;Inscription;
WORDS;REGISTER;Register;Neues Konto;Registrarse;Créer un compte;
WORDS;NEWSLETTER;Newsletter;Newsletter;Newsletter;Newsletter;
WORDS;LOGOUT;Logout;Logout;Cerrar sesión;Se déconnecter;
WORDS;USERS;USERNAME;USERNAME;Usuario;Nom de client;
WORDS;NEWPASSWORD;New password;Neues passwort;Contraseña nueva;Nouveau mot de passe;
WORDS;PASSWORD;Password;Passwort;Contraseña;Mot de passe;
WORDS;CONFIRMPASSWORD;Confirm password;Passwort bestätigen;Confirmar contraseña;Confirmer le mot de passe;
WORDS;REMEMBERME;Remember me;Remember me;Recordarme;Rappeller moi;
WORDS;ENTER;Enter;Enter;Entrar;Entrer;
WORDS;OK;OK;OK;OK;OK;
WORDS;WARNING;Warning;Warning;Atención;Attention;
WORDS;CANCEL;Cancel;Annullieren;Cancelar;Annulation;
WORDS;CANCELLED;Cancelled;Storniert;Cancelado;Annulée;
WORDS;THE;the;the;el;le;
WORDS;THEPLURAL;the;the;los;les;
WORDS;IN;in;in;en;dans;
WORDS;ON;on;on;prendido;allumé;
